trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.5, 'e': 0.94339995500831}",20,0,-138.6817044512082,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.9426550751412301}",20,0,-207.62769792659935,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
153,False,"{'a': 0.5, 'e': 0.9419054704511761}",30,0,-179.27286160249338,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.9411511446953539}",25,0,-61.33383825784936,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.9403921016546328}",25,17,5.2009266271448675,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.9396283451335266}",20,0,-149.48081103502258,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.9388598789601736}",25,0,-98.66466828615114,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.9380867069863188}",25,0,-87.63804256971008,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.9373088330872934}",20,0,-23.0723262918113,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.9365262611619958}",20,0,-121.05641370144434,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.9357389951328722}",30,0,-136.70437046810434,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.9349470389458969}",20,0,-165.19887983806336,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
163,False,"{'a': 0.5, 'e': 0.9341503965705523}",20,0,-10.153189778317635,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.9333490719998092}",25,0,-113.03899833117976,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.9325430692501069}",30,0,-88.26243789942659,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.9317323923613325}",25,0,-150.42168517318464,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.9309170453968014}",20,0,-112.14025334681541,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.9300970324432366}",30,0,-198.05304178932354,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.929272357610748}",30,0,-127.30430337789439,"{0: 14, 1: 6, 2: 9, 3: 1, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.9284430250328121}",25,0,-130.91193291678923,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.9276090388662511}",20,0,-155.5664937645654,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.9267704032912123}",20,0,-113.98621701454236,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.925927122511147}",20,0,-141.63320774768582,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.9250792007527893}",20,0,-198.9619936449569,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
175,False,"{'a': 0.5, 'e': 0.9242266422661349}",25,0,-151.73123775097247,"{0: 10, 1: 5, 2: 6, 3: 4, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.9233694513244205}",20,14,1.0419632573746362,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.9225076322241013}",20,0,-62.48690951790584,"{0: 10, 1: 7, 2: 2, 3: 1, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.92164118928483}",20,0,-88.04367414718466,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.9207701268494355}",30,0,-126.53197931421849,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.9198944492839005}",30,0,-159.94451626592868,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
181,False,"{'a': 0.5, 'e': 0.9190141609773399}",20,0,-142.9745145948108,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.9181292663419789}",20,0,-85.49335957135435,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
